"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 13 03:17:01 GMT 2023","Wed Dec 13 03:17:02 GMT 2023","77","","Cypress Tests with Docker","","","","should load website",""
"passed","Wed Dec 13 03:17:08 GMT 2023","Wed Dec 13 03:17:09 GMT 2023","1190","","Visual Regression -Login Page","","","","Tablet Layout",""
"passed","Wed Dec 13 03:16:53 GMT 2023","Wed Dec 13 03:16:54 GMT 2023","313","","Visual Regression","","","","Should load account activity",""
"failed","Wed Dec 13 03:16:54 GMT 2023","Wed Dec 13 03:16:54 GMT 2023","597","","Visual Regression","","","","Data table snapshot",""
"passed","Wed Dec 13 03:17:00 GMT 2023","Wed Dec 13 03:17:00 GMT 2023","420","","Visual Regression","","","","Should match https://example.com in resolution iphone-6",""
"passed","Wed Dec 13 03:17:01 GMT 2023","Wed Dec 13 03:17:01 GMT 2023","343","","Single Element Snapshot","","","","Should match a single element on the page",""
"passed","Wed Dec 13 03:17:02 GMT 2023","Wed Dec 13 03:17:02 GMT 2023","18","","Cypress Tests with Docker","","","","should load h1 element",""
"passed","Wed Dec 13 03:17:07 GMT 2023","Wed Dec 13 03:17:08 GMT 2023","1367","","Visual Regression -Login Page","","","","Desktop Layout",""
"passed","Wed Dec 13 03:17:09 GMT 2023","Wed Dec 13 03:17:10 GMT 2023","1123","","Visual Regression -Login Page","","","","Mobile Layout",""
"passed","Wed Dec 13 03:17:15 GMT 2023","Wed Dec 13 03:17:16 GMT 2023","1119","","Visual Testing with Percy and Cypress","","","","should take percy snapshot",""
"passed","Wed Dec 13 03:17:00 GMT 2023","Wed Dec 13 03:17:01 GMT 2023","356","","Visual Regression","","","","Should match https://example.com in resolution ipad-2",""
"passed","Wed Dec 13 03:17:01 GMT 2023","Wed Dec 13 03:17:01 GMT 2023","375","","Visual Regression","","","","Should match https://example.com in resolution 1200,800",""
