"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 16 08:08:29 GMT 2023","Sat Dec 16 08:08:29 GMT 2023","528","","Visual Regression","","","","Should load account activity",""
"passed","Sat Dec 16 08:09:09 GMT 2023","Sat Dec 16 08:09:10 GMT 2023","942","","Visual Regression -Login Page","","","","Mobile Layout",""
"passed","Sat Dec 16 08:08:43 GMT 2023","Sat Dec 16 08:08:43 GMT 2023","376","","Verify drag and drop","","","","should drag and drop a draggable item - example 1",""
"passed","Sat Dec 16 08:08:30 GMT 2023","Sat Dec 16 08:08:36 GMT 2023","5719","","Visual Regression","","","","should verify the content of the pdf file",""
"passed","Sat Dec 16 08:08:59 GMT 2023","Sat Dec 16 08:09:00 GMT 2023","304","","Visual Regression","","","","Should match https://example.com in resolution ipad-2",""
"passed","Sat Dec 16 08:09:07 GMT 2023","Sat Dec 16 08:09:08 GMT 2023","1496","","Visual Regression -Login Page","","","","Desktop Layout",""
"passed","Sat Dec 16 08:08:29 GMT 2023","Sat Dec 16 08:08:30 GMT 2023","437","","Visual Regression","","","","Data table snapshot",""
"passed","Sat Dec 16 08:08:59 GMT 2023","Sat Dec 16 08:08:59 GMT 2023","313","","Visual Regression","","","","Should match https://example.com in resolution iphone-6",""
"passed","Sat Dec 16 08:08:45 GMT 2023","Sat Dec 16 08:08:52 GMT 2023","6816","","Verify drag and drop","","","","should able to drag and drop element on Material Angular example page",""
"passed","Sat Dec 16 08:09:08 GMT 2023","Sat Dec 16 08:09:09 GMT 2023","1007","","Visual Regression -Login Page","","","","Tablet Layout",""
"passed","Sat Dec 16 08:09:00 GMT 2023","Sat Dec 16 08:09:00 GMT 2023","345","","Visual Regression","","","","Should match https://example.com in resolution 1200,800",""
"passed","Sat Dec 16 08:09:00 GMT 2023","Sat Dec 16 08:09:00 GMT 2023","66","","Cypress Tests with Docker","","","","should load website",""
"passed","Sat Dec 16 08:09:00 GMT 2023","Sat Dec 16 08:09:00 GMT 2023","12","","Cypress Tests with Docker","","","","should load h1 element",""
"passed","Sat Dec 16 08:09:16 GMT 2023","Sat Dec 16 08:09:18 GMT 2023","1138","","Visual Testing with Percy and Cypress","","","","should take percy snapshot",""
"passed","Sat Dec 16 08:09:00 GMT 2023","Sat Dec 16 08:09:00 GMT 2023","272","","Single Element Snapshot","","","","Should match a single element on the page",""
