"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 22 10:42:29 GMT 2023","Fri Dec 22 10:42:29 GMT 2023","44","","Cypress Tests with Docker","","","","should load website",""
"passed","Fri Dec 22 10:42:12 GMT 2023","Fri Dec 22 10:42:13 GMT 2023","536","","Verify drag and drop","","","","should drag and drop a draggable item - example 1",""
"passed","Fri Dec 22 10:42:00 GMT 2023","Fri Dec 22 10:42:00 GMT 2023","194","","Visual Regression","","","","Should load account activity",""
"passed","Fri Dec 22 10:42:42 GMT 2023","Fri Dec 22 10:42:43 GMT 2023","1120","","Visual Testing with Percy and Cypress","","","","should take percy snapshot",""
"passed","Fri Dec 22 10:42:29 GMT 2023","Fri Dec 22 10:42:29 GMT 2023","329","","Visual Regression","","","","Should match https://example.com in resolution 1200,800",""
"passed","Fri Dec 22 10:42:00 GMT 2023","Fri Dec 22 10:42:01 GMT 2023","344","","Visual Regression","","","","Data table snapshot",""
"passed","Fri Dec 22 10:42:28 GMT 2023","Fri Dec 22 10:42:29 GMT 2023","314","","Visual Regression","","","","Should match https://example.com in resolution ipad-2",""
"passed","Fri Dec 22 10:42:01 GMT 2023","Fri Dec 22 10:42:06 GMT 2023","5572","","Visual Regression","","","","should verify the content of the pdf file",""
"passed","Fri Dec 22 10:42:14 GMT 2023","Fri Dec 22 10:42:21 GMT 2023","7145","","Verify drag and drop","","","","should able to drag and drop element on Material Angular example page",""
"passed","Fri Dec 22 10:42:34 GMT 2023","Fri Dec 22 10:42:35 GMT 2023","984","","Visual Regression -Login Page","","","","Desktop Layout",""
"passed","Fri Dec 22 10:42:29 GMT 2023","Fri Dec 22 10:42:29 GMT 2023","15","","Cypress Tests with Docker","","","","should load h1 element",""
"passed","Fri Dec 22 10:42:28 GMT 2023","Fri Dec 22 10:42:28 GMT 2023","248","","Visual Regression","","","","Should match https://example.com in resolution iphone-6",""
"passed","Fri Dec 22 10:42:29 GMT 2023","Fri Dec 22 10:42:29 GMT 2023","247","","Single Element Snapshot","","","","Should match a single element on the page",""
"passed","Fri Dec 22 10:42:35 GMT 2023","Fri Dec 22 10:42:36 GMT 2023","952","","Visual Regression -Login Page","","","","Tablet Layout",""
"passed","Fri Dec 22 10:42:36 GMT 2023","Fri Dec 22 10:42:37 GMT 2023","841","","Visual Regression -Login Page","","","","Mobile Layout",""
