"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 21 18:32:54 GMT 2023","Thu Dec 21 18:32:55 GMT 2023","893","","Visual Regression -Login Page","","","","Tablet Layout",""
"passed","Thu Dec 21 18:32:47 GMT 2023","Thu Dec 21 18:32:47 GMT 2023","263","","Visual Regression","","","","Should match https://example.com in resolution ipad-2",""
"passed","Thu Dec 21 18:32:55 GMT 2023","Thu Dec 21 18:32:55 GMT 2023","832","","Visual Regression -Login Page","","","","Mobile Layout",""
"passed","Thu Dec 21 18:32:48 GMT 2023","Thu Dec 21 18:32:48 GMT 2023","13","","Cypress Tests with Docker","","","","should load h1 element",""
"passed","Thu Dec 21 18:32:19 GMT 2023","Thu Dec 21 18:32:19 GMT 2023","184","","Visual Regression","","","","Should load account activity",""
"passed","Thu Dec 21 18:33:01 GMT 2023","Thu Dec 21 18:33:02 GMT 2023","1114","","Visual Testing with Percy and Cypress","","","","should take percy snapshot",""
"passed","Thu Dec 21 18:32:19 GMT 2023","Thu Dec 21 18:32:19 GMT 2023","327","","Visual Regression","","","","Data table snapshot",""
"passed","Thu Dec 21 18:32:48 GMT 2023","Thu Dec 21 18:32:48 GMT 2023","201","","Single Element Snapshot","","","","Should match a single element on the page",""
"passed","Thu Dec 21 18:32:33 GMT 2023","Thu Dec 21 18:32:40 GMT 2023","7180","","Verify drag and drop","","","","should able to drag and drop element on Material Angular example page",""
"passed","Thu Dec 21 18:32:19 GMT 2023","Thu Dec 21 18:32:25 GMT 2023","5576","","Visual Regression","","","","should verify the content of the pdf file",""
"passed","Thu Dec 21 18:32:48 GMT 2023","Thu Dec 21 18:32:48 GMT 2023","43","","Cypress Tests with Docker","","","","should load website",""
"passed","Thu Dec 21 18:32:47 GMT 2023","Thu Dec 21 18:32:47 GMT 2023","242","","Visual Regression","","","","Should match https://example.com in resolution iphone-6",""
"passed","Thu Dec 21 18:32:47 GMT 2023","Thu Dec 21 18:32:48 GMT 2023","294","","Visual Regression","","","","Should match https://example.com in resolution 1200,800",""
"passed","Thu Dec 21 18:32:53 GMT 2023","Thu Dec 21 18:32:54 GMT 2023","1029","","Visual Regression -Login Page","","","","Desktop Layout",""
"passed","Thu Dec 21 18:32:31 GMT 2023","Thu Dec 21 18:32:32 GMT 2023","655","","Verify drag and drop","","","","should drag and drop a draggable item - example 1",""
