"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 24 10:42:29 GMT 2023","Sun Dec 24 10:42:30 GMT 2023","1022","","Visual Regression -Login Page","","","","Desktop Layout",""
"passed","Sun Dec 24 10:42:11 GMT 2023","Sun Dec 24 10:42:17 GMT 2023","6814","","Verify drag and drop","","","","should able to drag and drop element on Material Angular example page",""
"passed","Sun Dec 24 10:41:57 GMT 2023","Sun Dec 24 10:41:57 GMT 2023","331","","Visual Regression","","","","Data table snapshot",""
"passed","Sun Dec 24 10:42:24 GMT 2023","Sun Dec 24 10:42:24 GMT 2023","304","","Visual Regression","","","","Should match https://example.com in resolution 1200,800",""
"passed","Sun Dec 24 10:42:31 GMT 2023","Sun Dec 24 10:42:32 GMT 2023","920","","Visual Regression -Login Page","","","","Mobile Layout",""
"passed","Sun Dec 24 10:42:30 GMT 2023","Sun Dec 24 10:42:31 GMT 2023","901","","Visual Regression -Login Page","","","","Tablet Layout",""
"passed","Sun Dec 24 10:42:23 GMT 2023","Sun Dec 24 10:42:24 GMT 2023","309","","Visual Regression","","","","Should match https://example.com in resolution ipad-2",""
"passed","Sun Dec 24 10:42:24 GMT 2023","Sun Dec 24 10:42:24 GMT 2023","12","","Cypress Tests with Docker","","","","should load h1 element",""
"passed","Sun Dec 24 10:41:57 GMT 2023","Sun Dec 24 10:42:03 GMT 2023","5591","","Visual Regression","","","","should verify the content of the pdf file",""
"passed","Sun Dec 24 10:42:24 GMT 2023","Sun Dec 24 10:42:24 GMT 2023","58","","Cypress Tests with Docker","","","","should load website",""
"passed","Sun Dec 24 10:42:23 GMT 2023","Sun Dec 24 10:42:23 GMT 2023","253","","Visual Regression","","","","Should match https://example.com in resolution iphone-6",""
"passed","Sun Dec 24 10:42:24 GMT 2023","Sun Dec 24 10:42:24 GMT 2023","264","","Single Element Snapshot","","","","Should match a single element on the page",""
"passed","Sun Dec 24 10:42:37 GMT 2023","Sun Dec 24 10:42:38 GMT 2023","1106","","Visual Testing with Percy and Cypress","","","","should take percy snapshot",""
"passed","Sun Dec 24 10:42:09 GMT 2023","Sun Dec 24 10:42:09 GMT 2023","419","","Verify drag and drop","","","","should drag and drop a draggable item - example 1",""
"passed","Sun Dec 24 10:41:57 GMT 2023","Sun Dec 24 10:41:57 GMT 2023","191","","Visual Regression","","","","Should load account activity",""
