"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 16 13:42:42 GMT 2023","Sat Dec 16 13:42:42 GMT 2023","299","","Visual Regression","","","","Should match https://example.com in resolution ipad-2",""
"passed","Sat Dec 16 13:42:56 GMT 2023","Sat Dec 16 13:42:57 GMT 2023","1110","","Visual Testing with Percy and Cypress","","","","should take percy snapshot",""
"passed","Sat Dec 16 13:42:42 GMT 2023","Sat Dec 16 13:42:42 GMT 2023","342","","Visual Regression","","","","Should match https://example.com in resolution 1200,800",""
"passed","Sat Dec 16 13:42:49 GMT 2023","Sat Dec 16 13:42:50 GMT 2023","810","","Visual Regression -Login Page","","","","Mobile Layout",""
"passed","Sat Dec 16 13:42:43 GMT 2023","Sat Dec 16 13:42:43 GMT 2023","14","","Cypress Tests with Docker","","","","should load h1 element",""
"passed","Sat Dec 16 13:42:49 GMT 2023","Sat Dec 16 13:42:49 GMT 2023","893","","Visual Regression -Login Page","","","","Tablet Layout",""
"passed","Sat Dec 16 13:42:42 GMT 2023","Sat Dec 16 13:42:43 GMT 2023","223","","Single Element Snapshot","","","","Should match a single element on the page",""
"passed","Sat Dec 16 13:42:47 GMT 2023","Sat Dec 16 13:42:49 GMT 2023","1053","","Visual Regression -Login Page","","","","Desktop Layout",""
"passed","Sat Dec 16 13:42:13 GMT 2023","Sat Dec 16 13:42:19 GMT 2023","5640","","Visual Regression","","","","should verify the content of the pdf file",""
"passed","Sat Dec 16 13:42:41 GMT 2023","Sat Dec 16 13:42:42 GMT 2023","336","","Visual Regression","","","","Should match https://example.com in resolution iphone-6",""
"passed","Sat Dec 16 13:42:27 GMT 2023","Sat Dec 16 13:42:35 GMT 2023","7247","","Verify drag and drop","","","","should able to drag and drop element on Material Angular example page",""
"passed","Sat Dec 16 13:42:25 GMT 2023","Sat Dec 16 13:42:26 GMT 2023","657","","Verify drag and drop","","","","should drag and drop a draggable item - example 1",""
"passed","Sat Dec 16 13:42:43 GMT 2023","Sat Dec 16 13:42:43 GMT 2023","45","","Cypress Tests with Docker","","","","should load website",""
"passed","Sat Dec 16 13:42:13 GMT 2023","Sat Dec 16 13:42:13 GMT 2023","222","","Visual Regression","","","","Should load account activity",""
"passed","Sat Dec 16 13:42:13 GMT 2023","Sat Dec 16 13:42:13 GMT 2023","420","","Visual Regression","","","","Data table snapshot",""
