"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 18 10:42:19 GMT 2023","Mon Dec 18 10:42:25 GMT 2023","5857","","Visual Regression","","","","should verify the content of the pdf file",""
"passed","Mon Dec 18 10:42:57 GMT 2023","Mon Dec 18 10:42:58 GMT 2023","999","","Visual Regression -Login Page","","","","Mobile Layout",""
"passed","Mon Dec 18 10:42:48 GMT 2023","Mon Dec 18 10:42:48 GMT 2023","320","","Visual Regression","","","","Should match https://example.com in resolution 1200,800",""
"passed","Mon Dec 18 10:42:56 GMT 2023","Mon Dec 18 10:42:57 GMT 2023","1074","","Visual Regression -Login Page","","","","Tablet Layout",""
"passed","Mon Dec 18 10:42:34 GMT 2023","Mon Dec 18 10:42:41 GMT 2023","7267","","Verify drag and drop","","","","should able to drag and drop element on Material Angular example page",""
"passed","Mon Dec 18 10:42:54 GMT 2023","Mon Dec 18 10:42:56 GMT 2023","2572","","Visual Regression -Login Page","","","","Desktop Layout",""
"passed","Mon Dec 18 10:42:48 GMT 2023","Mon Dec 18 10:42:48 GMT 2023","58","","Cypress Tests with Docker","","","","should load website",""
"passed","Mon Dec 18 10:42:47 GMT 2023","Mon Dec 18 10:42:48 GMT 2023","319","","Visual Regression","","","","Should match https://example.com in resolution ipad-2",""
"passed","Mon Dec 18 10:42:18 GMT 2023","Mon Dec 18 10:42:18 GMT 2023","465","","Visual Regression","","","","Should load account activity",""
"passed","Mon Dec 18 10:42:32 GMT 2023","Mon Dec 18 10:42:32 GMT 2023","532","","Verify drag and drop","","","","should drag and drop a draggable item - example 1",""
"passed","Mon Dec 18 10:42:18 GMT 2023","Mon Dec 18 10:42:19 GMT 2023","401","","Visual Regression","","","","Data table snapshot",""
"passed","Mon Dec 18 10:43:04 GMT 2023","Mon Dec 18 10:43:05 GMT 2023","1146","","Visual Testing with Percy and Cypress","","","","should take percy snapshot",""
"passed","Mon Dec 18 10:42:47 GMT 2023","Mon Dec 18 10:42:47 GMT 2023","296","","Visual Regression","","","","Should match https://example.com in resolution iphone-6",""
"passed","Mon Dec 18 10:42:48 GMT 2023","Mon Dec 18 10:42:48 GMT 2023","259","","Single Element Snapshot","","","","Should match a single element on the page",""
"passed","Mon Dec 18 10:42:48 GMT 2023","Mon Dec 18 10:42:48 GMT 2023","12","","Cypress Tests with Docker","","","","should load h1 element",""
