"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 12 20:29:47 GMT 2023","Tue Dec 12 20:29:48 GMT 2023","1187","","Visual Regression -Login Page","","","","Tablet Layout",""
"passed","Tue Dec 12 20:29:32 GMT 2023","Tue Dec 12 20:29:32 GMT 2023","339","","Visual Regression","","","","Should load account activity",""
"passed","Tue Dec 12 20:29:40 GMT 2023","Tue Dec 12 20:29:40 GMT 2023","131","","Cypress Tests with Docker","","","","should load website",""
"passed","Tue Dec 12 20:29:32 GMT 2023","Tue Dec 12 20:29:33 GMT 2023","747","","Visual Regression","","","","Data table snapshot",""
"passed","Tue Dec 12 20:29:46 GMT 2023","Tue Dec 12 20:29:47 GMT 2023","1323","","Visual Regression -Login Page","","","","Desktop Layout",""
"passed","Tue Dec 12 20:29:38 GMT 2023","Tue Dec 12 20:29:39 GMT 2023","713","","Visual Regression","","","","Should match https://example.com in resolution iphone-6",""
"passed","Tue Dec 12 20:29:41 GMT 2023","Tue Dec 12 20:29:41 GMT 2023","33","","Cypress Tests with Docker","","","","should load h1 element",""
"passed","Tue Dec 12 20:29:40 GMT 2023","Tue Dec 12 20:29:40 GMT 2023","427","","Visual Regression","","","","Should match https://example.com in resolution 1200,800",""
"passed","Tue Dec 12 20:29:39 GMT 2023","Tue Dec 12 20:29:40 GMT 2023","338","","Visual Regression","","","","Should match https://example.com in resolution ipad-2",""
"passed","Tue Dec 12 20:29:54 GMT 2023","Tue Dec 12 20:29:56 GMT 2023","1137","","Visual Testing with Percy and Cypress","","","","should take percy snapshot",""
"passed","Tue Dec 12 20:29:48 GMT 2023","Tue Dec 12 20:29:49 GMT 2023","1083","","Visual Regression -Login Page","","","","Mobile Layout",""
"passed","Tue Dec 12 20:29:40 GMT 2023","Tue Dec 12 20:29:40 GMT 2023","388","","Single Element Snapshot","","","","Should match a single element on the page",""
