"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 15 15:33:01 GMT 2023","Fri Dec 15 15:33:02 GMT 2023","1124","","Visual Testing with Percy and Cypress","","","","should take percy snapshot",""
"passed","Fri Dec 15 15:32:30 GMT 2023","Fri Dec 15 15:32:30 GMT 2023","405","","Visual Regression","","","","Should load account activity",""
"passed","Fri Dec 15 15:32:44 GMT 2023","Fri Dec 15 15:32:44 GMT 2023","349","","Visual Regression","","","","Should match https://example.com in resolution 1200,800",""
"passed","Fri Dec 15 15:32:45 GMT 2023","Fri Dec 15 15:32:45 GMT 2023","14","","Cypress Tests with Docker","","","","should load h1 element",""
"passed","Fri Dec 15 15:32:44 GMT 2023","Fri Dec 15 15:32:44 GMT 2023","313","","Visual Regression","","","","Should match https://example.com in resolution ipad-2",""
"passed","Fri Dec 15 15:32:51 GMT 2023","Fri Dec 15 15:32:52 GMT 2023","1511","","Visual Regression -Login Page","","","","Desktop Layout",""
"passed","Fri Dec 15 15:32:44 GMT 2023","Fri Dec 15 15:32:45 GMT 2023","221","","Single Element Snapshot","","","","Should match a single element on the page",""
"passed","Fri Dec 15 15:32:31 GMT 2023","Fri Dec 15 15:32:37 GMT 2023","5699","","Visual Regression","","","","should verify the content of the pdf file",""
"passed","Fri Dec 15 15:32:45 GMT 2023","Fri Dec 15 15:32:45 GMT 2023","56","","Cypress Tests with Docker","","","","should load website",""
"passed","Fri Dec 15 15:32:52 GMT 2023","Fri Dec 15 15:32:53 GMT 2023","987","","Visual Regression -Login Page","","","","Tablet Layout",""
"passed","Fri Dec 15 15:32:30 GMT 2023","Fri Dec 15 15:32:31 GMT 2023","395","","Visual Regression","","","","Data table snapshot",""
"passed","Fri Dec 15 15:32:43 GMT 2023","Fri Dec 15 15:32:44 GMT 2023","319","","Visual Regression","","","","Should match https://example.com in resolution iphone-6",""
"passed","Fri Dec 15 15:32:53 GMT 2023","Fri Dec 15 15:32:54 GMT 2023","926","","Visual Regression -Login Page","","","","Mobile Layout",""
